match_id,team1,team2,team1_win_rate,team2_win_rate,team1_recent_wins,team2_recent_wins,win_rate_diff,target
648105,REIGNITE FOXX,Insomnia,0.5,0.5,0,0,0.0,0
642927,FunPlus Phoenix,TYLOO,0.5,0.5,0,0,0.0,1
648106,WEC C,RIDDLE ORDER,0.5,0.5,0,0,0.0,0
648482,Team Falcons Vega,TRENTITAS,0.5,0.5,0,0,0.0,1
642928,Wuxi Titan Esports Club(Titan Esports Club),Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),0.5,0.5,0,0,0.0,1
648483,IVY,Azure GC,0.5,0.5,0,0,0.0,1
649798,Fire Flux Esports,REBORN,0.5,0.5,0,0,0.0,0
650494,Barça eSports,Otakar Esports,0.5,0.5,0,0,0.0,1
650501,NOVO Esports,HGE Esport,0.5,0.5,0,0,0.0,0
651540,RIZON,CGN Esports,0.5,0.5,0,0,0.0,0
651541,AKA HERO,FOKUS,0.5,0.5,0,0,0.0,0
649799,GHOSTS,Galatasaray Esports,0.5,0.5,0,0,0.0,0
650499,Ramboot Club,Melilla Titans,0.5,0.5,0,0,0.0,1
650495,UCAM Esports Club,DNSTY,0.5,0.5,0,0,0.0,0
651542,ALTERNATE aTTaX,Eintracht Frankfurt,0.5,0.5,0,0,0.0,0
651543,eSports Cologne,Dortmund eSports,0.5,0.5,0,0,0.0,0
648751,M80,NRG Academy,0.5,0.5,0,0,0.0,1
648752,SaD Esports,Evictix,0.5,0.5,0,0,0.0,1
650880,MIBR GC,Team Gaseous,0.5,0.5,0,0,0.0,0
620387,Akave Esports GC,No Sweat Blossom,0.5,0.5,0,0,0.0,1
648754,FlyQuest,Alliance Guardians,0.5,0.5,0,0,0.0,1
648753,Azure Dragon Gaming,YFP,0.5,0.5,0,0,0.0,0
650879,Lost Puppies Quackers,Remo Esports,0.5,0.5,0,0,0.0,0
648107,Murash Gaming,Insomnia,0.5,1.0,0,1,-0.5,0
648108,AGELITE,RIDDLE ORDER,0.5,1.0,0,1,-0.5,0
647402,T1 Academy,DRX Academy,0.5,0.5,0,0,0.0,1
642929,Xi Lai Gaming,Nova Esports,0.5,0.5,0,0,0.0,1
651751,Asterisk,S8UL Esports,0.5,0.5,0,0,0.0,0
648104,REJECT,FENNEL,0.5,0.5,0,0,0.0,0
647403,Dplus Esports,ARETE,0.5,0.5,0,0,0.0,1
648484,36 Thieves,Team HAQ,0.5,0.5,0,0,0.0,1
642930,EDward Gaming,Trace Esports,0.5,0.5,0,0,0.0,1
651752,Revenant XSpark,Gods Reign,0.5,0.5,0,0,0.0,1
648485,Stallions Lyra,Matilda GC,0.5,0.5,0,0,0.0,1
644716,PCIFIC Esports,GIANTX,0.5,0.5,0,0,0.0,0
644717,BBL Esports,Eternal Fire,0.5,0.5,0,0,0.0,0
650878,Paysandu Esports,Team Liquid Brazil,0.5,0.5,0,0,0.0,0
650881,Remo Esports,Team Gaseous,1.0,1.0,1,1,0.0,1
650938,Chivas Esports,Tezcat Gaming,0.5,0.5,0,0,0.0,0
650943,AB3 Esports,FUEGO,0.5,0.5,0,0,0.0,1
648109,Insomnia,RIDDLE ORDER,1.0,1.0,2,2,0.0,1
647400,ONSIDE GAMING,Gen.G Global Academy,0.5,0.5,0,0,0.0,1
642931,JD Mall JDG Esports(JDG Esports),All Gamers,0.5,0.5,0,0,0.0,0
651753,S8UL Esports,Revenant XSpark,1.0,1.0,1,1,0.0,1
648110,REJECT,Insomnia,0.0,1.0,0,3,-1.0,0
647404,T1 Academy,Dplus Esports,1.0,1.0,1,1,0.0,1
648490,TRENTITAS,Azure GC,0.0,0.0,0,0,0.0,1
642932,Dragon Ranger Gaming,Wolves Esports,0.5,0.5,0,0,0.0,1
648491,Team HAQ,Matilda GC,0.0,0.0,0,0,0.0,0
644718,FNATIC,Team Vitality,0.5,0.5,0,0,0.0,1
644719,Team Liquid,Team Heretics,0.5,0.5,0,0,0.0,1
650920,OXEN,9z Team,0.5,0.5,0,0,0.0,0
650882,Paysandu Esports,Remo Esports,0.0,1.0,0,2,-1.0,1
650925,KRÜ SPARK,University War,0.5,0.5,0,0,0.0,1
644658,DetonatioN FocusMe,T1,0.5,0.5,0,0,0.0,0
642933,Nova Esports,Trace Esports,0.0,0.0,0,0,0.0,0
644659,Nongshim RedForce,Kiwoom DRX,0.5,0.5,0,0,0.0,0
642934,FunPlus Phoenix,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),1.0,0.0,1,0,1.0,0
644720,FUT Esports,Natus Vincere,0.5,0.5,0,0,0.0,1
644721,Gentle Mates,Karmine Corp,0.5,0.5,0,0,0.0,1
645474,Sentinels,KRÜ Esports,0.5,0.5,0,0,0.0,0
645475,G2 Esports,MIBR,0.5,0.5,0,0,0.0,0
